node_id,title,author,year,translator,original_work,publisher,publication_detail,link_text_1,link_url_1,link_text_2,link_url_2,link_text_3,link_url_3,others
1,うつす,田中太郎,1996,,,国民書店,,,,,,,,
2,うつす(一),竹本秀一,1996,,,国民書房,馬原鉄男・掛谷宰平(編)『近代天皇制国家の社会統合』,,,,,,,
3,うつす(二),向井一世,1991,,,国民社,西川長夫・松宮秀治(編)『幕末・明治期の国民国家形成と文化変容』,,,,,,,
4,うつす 14巻,竹中光範,1995,,,国民閣,国史大辞典編集委員会(編)『国史大辞典』第六巻,,,,,,,
5,うつす 3巻,森田秀次郎,1985,,,国民国家出版,,,,,,,,
6,うつす絵画,石崎彰揮,1989,,,国民国家の書店,展示会目録 ; 第116号,,,,,,,
7,うつす写本,小泉繁次,1992,,,国民国家の書房,,,,,,,,
8,うつす Vol.1,梅田伸江,1993,,,国民国家の社,(青木茂(監修)『美術園 : 別冊』近代美術雑誌叢書 7、ゆにま書房、1991年 収録),,,,,,,
9,うつす Vol.2,トム・サービス,1880,,,国民国家の閣,(講談社現代新書),,,,,,,
10,うつす Vol.3,金城武久,1994,,,国民文化村,,,,,,,,
11,うつす [図版編],吉川雅栄,1986,,,国民文化書店,『美術研究』 第353号,,,,,,,
12,うつす [資料編],三宅保光,1992,,,国民文化書房,,,,,,,,
13,うつすⅢ,福原興子,1991,,,国民文化社,『広島女学院大学論集』 第40集,,,,,,,
14,うつすかたち,畠山章子,1990,,,国民文化閣,,,,,,,,
15,うつすからだ,大島喜代信,1973,,,国立出版,原色現代日本の美術 第14巻 : 工芸,,,,,,,
16,うつすことばと,柳田聡,1980,,,国立書店,,,,,,,,
17,うつすことば辞典,小林優紀,1974,,,国立書房,『MUSEUM』 第202号,,,,,,,
18,うつすされる,東康次,1968,,,国立社,,,,,,,,
19,うつす美学的な数学言説,丹羽政治,1995,,,国立閣,,,,,,,,
20,うつすたち美学的な数学,中島辰己,1995,,,国粋出版,,,,,,,,
21,うつすと,土屋知美,1995,,,国粋主義書店,平成五・六年度科学研究費補助金 (一般研究A) 研究成果報告書『東アジア美術における人のかたち』,,,,,,,
22,うつすとして美学的な数学,辻久仁夫,1994,,,国粋主義書房,野村幾千世(編)『明治美術会第五回報告』(青木茂・酒井忠康(校注)『美術』 日本近代思想体系 17、岩波書店、1989年 収録),,,,,,,
23,うつす美学的な数学,小西要之助,1890,,,国粋主義社,『文學評論 しがらみ草紙』第八号 (『森鴎外全集』第一巻、鴎外全集刊行会、1923年 収録),,,,,,,
24,うつすついて,戸田知恵,1890,,,国粋主義閣,『東京新報』明治二三年六月五日 (『森鴎外全集』第一巻、鴎外全集刊行会、1923年 収録),,,,,,,
25,うつす対する,大沢道義,1890,,,国華,『文學評論 しがらみ草紙』第九号 (『森鴎外全集』第一巻、鴎外全集刊行会、1923年 収録),,,,,,,
